,base_date,emd_nm,card_use_cnt,visit_pop,youth_pop,total_pop,jeju_resd_pop,market_amt,card_use_amt,delivery_cnt,market_cnt,em_cnt,work_pop,total_frgn_pop,delivery_amt
0,2021-07-01,건입동,2149.2009468618066,186013.34520837895,918.426170723798,9109.999999999993,6373.946294563827,21246960.15566242,59490928.49106208,243.57306192936161,621.8296938560269,691.1014120788968,22279.504950372782,18.726354118252488,6051194.720504581
1,2021-07-01,구좌읍,1888.3447877680887,248254.3319729051,1581.1262938280506,15954.999999999996,13322.572504314807,17875254.920686636,66695235.76820684,95.13502232030599,460.3138509389033,498.10883992638986,39094.694097555985,21.372933830884627,2296940.826565552
2,2021-07-01,남원읍,2033.6184426940013,197437.5114543716,1083.864524505649,19353.564275978104,13976.727235475792,31021923.82454257,80084904.1775347,114.509864193978,572.6780676881673,591.5399129839442,31182.01808415076,32.35749020869638,2344106.46326184
3,2021-07-01,노형동,15891.179784691278,560200.2704134193,5120.128183935878,57473.00000000003,52538.355478829115,151551829.41001967,456196228.7888042,2232.41180727564,4692.282905728652,4541.465743157289,134960.66690002067,68.69688210664161,51904214.56547906
4,2021-07-01,대륜동,2945.4298142773714,229885.3944117229,1620.4843952041504,15277.000000000031,13743.96856101638,40301100.82931293,98974299.21595256,324.00006232405536,886.6799538005579,768.7905138984288,34735.20122918203,18.24309497038066,7627131.303683739
5,2021-07-01,대정읍,3867.1724373024213,177807.77593667622,1206.1888360214066,23530.000000000004,18849.75668650199,47183911.5758135,127263294.93770708,282.38539108584564,1148.741876267027,1357.5042006064475,31819.0602359837,41.10557469044425,7372649.494573452
6,2021-07-01,대천동,2796.1242059995634,156716.43792525734,895.4535453536388,14045.9081125863,7398.014963849107,40438088.68742114,91592720.32838725,355.2559021233003,875.8166593293628,972.743003577165,17633.79969464413,14.615846274778983,7699071.176348857
7,2021-07-01,도두동,714.9532084995262,81767.58614613934,352.4792198564048,3402.9999999999986,1189.1058013839177,12795335.386229742,25336401.60180048,67.10748258400686,241.08753184183632,313.04623889962613,5155.881493556451,11.512385364026644,1507532.885891643
8,2021-07-01,동홍동,4711.923481356294,197059.83981850234,1304.4469528830714,24096.4637952336,18227.51301949232,74325891.84183663,162793577.9852995,494.30531403595563,1941.7360250951047,1783.661283868369,42073.686543691605,28.262780797444183,10999076.797047652
9,2021-07-01,봉개동,925.2411830262273,116527.38309904019,494.6285153020257,5326.849501108658,3939.691611303319,8859555.769548755,32063973.35061194,85.34231437475715,282.4791859195092,333.2753511595578,19886.39490920913,10.152455520522988,2064398.9678307052
10,2021-07-01,삼도1동,3497.700895512497,141393.67785977465,827.2816839419655,13650.999999999989,8768.204058405194,35258366.56926744,100352932.76630256,367.70883077033136,1179.1951198340464,1088.3594633841394,20371.547804011727,13.533425605076244,7945318.37757856
11,2021-07-01,삼도2동,1851.3098446562556,148613.71597005439,665.4307528679684,8188.999999999988,4247.152534236906,18890947.17764628,57503947.34130257,219.7647191781721,550.5428248682458,427.16794213297516,17709.155473615618,12.807744889373033,4869981.169466118
12,2021-07-01,삼양동,5925.503489779716,123602.99883440194,1484.1453449149274,26021.357352563027,21844.338899532733,45196374.13486955,175264197.40834093,848.3607899757268,1435.6671579470983,1773.3094456854199,24720.505065107547,15.269759950476274,20257751.541458976
13,2021-07-01,서홍동,2318.8009053985393,88309.97157257098,515.5531964524707,11055.372117748413,6476.167227588008,39528382.79081562,77823173.90589325,249.9163692071485,946.7823371904758,745.7148989607251,13094.606098493294,16.126708313074783,6660846.828307398
14,2021-07-01,성산읍,1826.220124402317,247170.2652025287,1616.1998147578454,16971.55996405393,13876.929340720271,22814041.92537268,68749303.31237641,122.86704271315638,619.8427437537363,721.5214997687242,25409.206850805873,29.098883446214625,3032632.639752817
15,2021-07-01,송산동,726.1811807461518,46805.83552449332,226.31288914581626,4509.450468832586,1802.5523417289567,12573239.248670582,30967854.71296295,46.31874234887689,271.78359275358133,285.7928177291979,3215.913266861766,14.32340379131698,1186367.3298605608
16,2021-07-01,아라동,9096.702027220184,364782.6478519681,4218.129905709864,39395.99999999995,42401.73278936897,87309915.14949775,269848855.6630878,1066.3655932578642,2438.3508979249978,2029.634104372711,133881.92266836006,39.88686629797965,25386792.49482557
17,2021-07-01,안덕면,1811.776175655372,296759.2195831164,1939.9312937722602,12714.587535123446,13589.834621320872,19082104.57477139,71877587.41132087,114.54099884891502,407.69188912504944,480.2684312985518,50255.25465560017,40.3165102571461,2626694.6935802917
18,2021-07-01,애월읍,6386.640853041995,640179.1059711511,4037.387239167109,38298.00000000006,34810.85525746843,53177307.54503649,207412701.63882267,519.5388940067296,1337.4156499372737,1449.6134081277137,93380.19642429656,53.633173239166794,12974799.391966105
